"",School,,School,,School,Location &,,,Enrolment,,,,Teachers,Class
283,07010302110 ROCKFIELD PUBLIC SCHOOOL,021-ROHINI Up. Primary with sec./H.sec,,Pvt. Unaided,,Urban Co-Educational,282,224,506,,1,9 10,19
"",School,,School,School,,Location  &,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,,Category,Management,,Type of School,,,,,,,rooms
"",,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code & Name: 070103,DOEUNAIDED,Total Schools in this block :,,264,,,,,,,,
"",Cluster Code & Name:,,,,,,,,,,,,
284,07010302104 ST. MARGARET SR. SEC. SCHOOL,021-ROHINI,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,588,433,1021,4,,38 42,32
285,07010302101 TITIKSHA PUBLIC SCHOOL,021-ROHINI,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,714,461,1175,6,,42 48,46
286,07010302107 VSPK INTERNATIONAL SCHOOL,021-ROHINI,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,441,265,706,10,,37 47,26
287,07010302204 DELHI PUBLIC SCHOOL ROHINI,022-RITHALA,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,757,686,1443,2,,74 76,47
288,07010302202 GITARATTAN JINDAL PUBLIC SCHOO0L22-RITHALA,,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,367,262,629,2,,31 33,21
289,07010302207 HAPPY HOME PUBLIC SCHOOL,022-RITHALA,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,738,514,1252,1,,40 41,39
290,07010302206 HIMALAYA P/S.S.S,022-RITHALA,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,385,215,600,0,,23 23,24
291,07010302205 MERRY INT. S.SEC. P/S,022-RITHALA,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,146,82,228,2,,15 17,10
292,07010302209 QUEEN MARY'S SCHOOL,022-RITHALA,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Rural Girls only,0,1048,1048,1,,44 45,32
293,07010302201 RACHNA MONTESORI SCHOOL,022-RITHALA,Primary with Upper Primary,Pvt. Unaided,,Rural Co-Educational,151,111,262,1,,8 9,8
294,07010302203 VIDYA JAIN PUBLIC SCHOOL,022-RITHALA,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,409,260,669,3,,27 30,22
295,07010302208 VIKAS BHARATI PUBLIC SCHOOL,022-RITHALA,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,1476,948,2424,0,,112 112,64
296,07010302310 AUROBINDO PUBLIC SCHOOL,023-BUDH VIHAR,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,124,81,205,2,,12 14,10
297,"07010302308 BUDH VIHAR,ROHINI-DIVYA P/S",023-BUDH VIHAR,Primary with Upper Primary,Pvt. Unaided,,Rural Co-Educational,88,77,165,0,,9 9,8
298,07010302305 C.M MODEL SCHOOL,023-BUDH VIHAR,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,212,140,352,1,,12 13,13
299,07010302303 CITIZEN PUBLIC SCHOOL,023-BUDH VIHAR,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,340,184,524,2,,15 17,15
300,07010302302 JUTHEDAR S.SINGH KHALSA,023-BUDH VIHAR,Primary with Upper Primary,Pvt. Unaided,,Rural Co-Educational,159,151,310,8,,5 13,12
301,07010302311 LITTLE STAR MODEL SCHOOL,023-BUDH VIHAR,Primary with Upper Primary,Pvt. Unaided,,Urban Co-Educational,225,101,326,1,,11 12,10
302,07010302307 NAV DURGA ADARSH VIDYALAYA,023-BUDH VIHAR,Primary with Upper Primary,Pvt. Unaided,,Urban Co-Educational,185,94,279,4,,11 15,8
303,07010302306 PRINCE PUBLIC SCHOOL,023-BUDH VIHAR,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,385,208,593,0,,20 20,28
304,07010302309 SOLANKI SECONDARY PUBLIC SCHO0O2L3-BUDH VIHAR,,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,95,54,149,2,,8 10,13
305,07010302304 YUVA SHAKTI MODEL SCHOOL,023-BUDH VIHAR,Primary with Upper Primary,Pvt. Unaided,,Urban Co-Educational,408,261,669,5,,20 25,21
306,07010302403 BALDEEP PUBLIC SCHOOL,024-VIJAY VIHAR,Primary with Upper Primary,Pvt. Unaided,,Urban Co-Educational,202,121,323,1,,11 12,8
307,07010302401 D.V.PUBLIC SCHOOL,024-VIJAY VIHAR,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,250,123,373,2,,9 11,15
308,07010302402 SWAMI RAMTIRTH PUBLIC SCHOOL,024-VIJAY VIHAR,Primary with Upper Primary,Pvt. Unaided,,Urban Co-Educational,488,292,780,1,,22 23,24
309,07010302504 B.R.TYAGI SR. SEC. SCHOOL,025-POOTH KALA,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Rural Co-Educational,291,132,423,6,,9 15,14
310,07010302507 BAL VIDYA MANDIR MODEL SCHOOL 025-POOTH KALA,,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Rural Co-Educational,255,95,350,5,,7 12,10
311,07010302505 R.D.SR.SEC. PUBLIC SCHOOL,025-POOTH KALA,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,158,130,288,3,,13 16,12
312,07010302501 ROSE CONVENT PUVLIC SCHOOL,025-POOTH KALA,Primary with Upper Primary,Pvt. Unaided,,Rural Co-Educational,113,99,212,2,,8 10,8
313,07010302506 RYAN INTERNATIONAL SCHOOL,025-POOTH KALA,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,1291,803,2094,7,,65 72,64
314,07010302503 SANGWAN MODEL SECONDARY SCH0O2O5-LPOOTH KALA,,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,176,132,308,2,,8 10,10
315,07010302508 TIN PUBLIC SCHOOL,025-POOTH KALA,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,,Urban Co-Educational,394,180,574,0,,10 10,26
"",School,School,,School,,Location &,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,Category,,Management,,Type of School,,,,,,,rooms
"",,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code & Name: 070103,DOEUNAIDED,Total Schools in this block :,,264,,,,,,,,
"",Cluster Code & Name:,,,,,,,,,,,,
316,07010302603 JINDAL INTERNATIONAL SCHOOL,026-SAHIBABAD DAULPArT. wPiUthR Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,131,63,194,,1,13 14,10
317,07010302602 ORION CONVENT SCHOOL,026-SAHIBABAD DAULPArTimPaUryR with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,164,80,244,,0,9 9,11
318,07010302604 ROOP KRISHAN PUBLIC SCHOOL,026-SAHIBABAD DAULPArTimPaUryR with Upper Primary,,Pvt. Unaided,,Rural Co-Educational,188,107,295,,0,11 11,16
319,07010302605 SHIV MODEL PUBLIC SCHOOL,026-SAHIBABAD DAULPArTimPaUryR with Upper Primary,,Pvt. Unaided,,Rural Co-Educational,159,96,255,,0,9 9,8
320,07010302601 ST XAVIERS SCHOOL,026-SAHIBABAD DAULPArT. wPiUthR Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,833,446,1279,,6,38 44,30
321,07010302701 B.V.M. MODEL SCHOOL,027-BEGUMPUR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,227,124,351,,1,10 11,12
322,07010302705 BRAHMA SHAKTI PUBLIC SCHOOL,027-BEGUMPUR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,157,129,286,,5,12 17,12
323,07010302703 GOOD LUCK SECONDARY PUBLIC SC0H2O7-OBLEGUMPUR,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,205,116,321,,2,10 12,12
324,07010302706 INDRA PRASTHA CONVENT,027-BEGUMPUR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,257,125,382,,2,10 12,25
325,07010302707 JAI HIND PUBLIC SCHOOL,027-BEGUMPUR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,405,142,547,,5,10 15,13
326,07010302708 K.D. MODEL SCHOOL,027-BEGUMPUR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,93,53,146,,2,9 11,12
327,07010302702 NEW RURAL DELHI PUBLIC SCHOOL 027-BEGUMPUR,Primary with Upper Primary,,Pvt. Unaided,,Rural Co-Educational,185,130,315,,4,9 13,8
328,07010302704 RAHUL PUBLIC SCHOOL,027-BEGUMPUR Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,177,99,276,,3,13 16,8
329,07010302802 ARISTOTLE PUBLIC SCHOOL,028-BAWANA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,218,99,317,,1,11 12,10
330,07010302809 CHAND RAM PUBLIC SCHOOL,028-BAWANA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,194,124,318,,2,13 15,10
331,07010302806 L. K. INTERNATIONAL SCHOOL,028-BAWANA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,753,373,1126,,5,28 33,30
332,07010302810 MAHARISHI DAYANAND PUBLIC SCHO0O28L-BAWANA,Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,126,67,193,,3,8 11,12
333,07010302807 MOTHER KHAZANI SR. SEC. SCHOOL028-BAWANA,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,420,193,613,,7,15 22,21
334,07010302805 SKY HAWK INTERNATIONAL SCHOOL028-BAWANA,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,219,99,318,,2,12 14,13
335,07010302804 TULIPS INTERNATIONAL SCHOOL,028-BAWANA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,328,177,505,,1,18 19,14
336,07010302808 WHITE LEAF PUBLIC SCHOOL,028-BAWANA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,290,121,411,,2,17 19,18
337,07010302913 B.M. BHARTI MODEL SCHOOL,029-KARALA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,515,344,859,,0,26 26,25
338,07010302901 B.S.M PUBLIC SCHOOL,029-KARALA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,277,206,483,,3,12 15,19
339,07010302907 CH. BALDEV SINGH MODEL SCHOOL 029-KARALA,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,188,111,299,,2,13 15,13
340,07010302910 DEEP MODERN PUB. SCHOOL,029-KARALA Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,232,137,369,,6,5 11,8
341,07010302905 GURU YOGI RAJ JAIN PUBLIC SCHOL029-KARALA,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,166,110,276,,1,11 12,10
342,07010302909 HEERA LAL PUB. SCHOOL,029-KARALA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,184,100,284,,1,11 12,10
343,07010302904 M.S. MODEL SEC. SCHOOL,029-KARALA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,330,147,477,,4,12 16,17
344,07010302908 MEER PUB. SCHOOL,029-KARALA Primary with Upper Primary,,Pvt. Unaided,,Rural Co-Educational,307,219,526,,5,10 15,13
345,07010302903 PARAG JYOTI PUBLIC SCHOOL,029-KARALA Primary with Upper Primary,,Pvt. Unaided,,Rural Co-Educational,376,278,654,,1,14 15,20
346,07010302906 RAJENDRA LAKRA MOD PATANSAL S0C2H9O-KOALRALA,Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,6,10,16,,1,2 3,8
347,07010303005 AKHIL BAL VIDYALAYA,030-MUNDKA Primary with Upper Primary,,Pvt. Unaided,,Rural Co-Educational,333,217,550,,1,10 11,10
"",School,School,,School,,Location &,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,Category,,Management,,Type of School,,,,,,,rooms
"",,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code  & Name: 070103,DOEUNAIDED Total Schools in this block :,,,264,,,,,,,,
"",Cluster Code  & Name:,,,,,,,,,,,,
348,07010303011 BAL STHALI PUBLIC SCHOOL,030-MUNDKA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,263,131,394,1,,10 11,10
349,07010303004 CH. KHUSHI RAM MODEL SCHOOL,030-MUNDKA Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,143,125,268,6,,7 13,12
350,07010303002 DEEN BANDHU PUBLIC SCHOOL,030-MUNDKA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,155,60,215,3,,13 16,13
351,07010303001 GANGA INTERNATIONAL SCHOOL,030-MUNDKA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,520,248,768,4,,22 26,20
352,07010303010 JOHNEY PUBLIC SCHOOL,030-MUNDKA Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,304,205,509,5,,9 14,9
353,07010303009 M.D.MEMORIAL P/SEC SCH,030-MUNDKA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,266,149,415,2,,10 12,10
354,07010303008 MURTI DEVI PUBLIC SCHOOL,030-MUNDKA Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,225,146,371,0,,12 12,15
355,07010303013 P.S.M. SR. SEC. SCHOOL,030-MUNDKA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,492,249,741,1,,20 21,24
356,07010303006 R.K.MEMORIAL PUBLIC SCHOOL,030-MUNDKA Primary with Upper Primary,,Pvt. Unaided,,Rural Co-Educational,168,106,274,0,,11 11,12
357,07010303007 S.D.SARASWATI BAL MANDIR,030-MUNDKA Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,212,168,380,3,,9 12,10
358,07010303003 ST. VIVEKANAND SECONDARY SCHO0O3L0-MUNDKA,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,341,187,528,3,,13 16,17
359,07010303012 SUN SMILE PUBLIC SCHOOL,030-MUNDKA Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,198,109,307,4,,7 11,8
360,07010303301 ABHINAV SENIOR SEC. P/S,033-PRATAP VIHAR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,614,333,947,3,,17 20,20
361,07010303404 AKASH MODEL SCHOOL,034-NITHARI Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,331,192,523,1,,24 25,21
362,07010303401 B.S.M.PUBLIC SCHOOL,034-NITHARI Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,247,152,399,3,,9 12,17
363,07010303402 G.N.PUBLIC SCHOOL,034-NITHARI Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,222,156,378,5,,7 12,9
364,07010303405 NAVEEN PUBLIC SCHOOL,034-NITHARI Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,347,173,520,2,,13 15,17
365,07010303403 SHRI TULA RAM PUBLIC SCHOOL,034-NITHARI Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,175,186,361,2,,9 11,10
366,07010303503 DEVENDRA PUBLIC SCHOOL,035-KIRARI SULEMANP NriGmRary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,407,238,645,4,,14 18,16
367,07010303502 NAV JYOTI PUBLIC SCHOOL,035-KIRARI SULEMANP NriGmRary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,231,129,360,0,,12 12,10
368,07010303501 S.M.PUBLIC SCHOOL,035-KIRARI SULEMANP NriGmRary with Upper Primary,,Pvt. Unaided,,Rural Co-Educational,202,205,407,4,,8 12,18
369,07010303801 BHARAT SHAKTI PUBLIC SCHOOL,038-MANGOLPURI NOPRrT. Hwith Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,333,261,594,1,,13 14,17
370,07010303901 R.R.GITA BAL BHARTI PUBLIC SCHOO0L39-SULTANPUR MAJPRrA. with Up.Pr. & sec./H.Sec.,,,Pvt. Unaided,,Urban Co-Educational,608,329,937,7,,18 25,29
371,07010304001 BALESHWAR MEMORIAL PUBLIC SCH0O4O0-LSULTANPURI SOUPTriHmary with Upper Primary,,,Pvt. Unaided,,Urban Co-Educational,263,139,402,6,,5 11,12
372,07010304003 C.P.M. PUBLIC SCHOOL,040-SULTANPURI SOUPTriHmary with Upper Primary,,Pvt. Unaided,,Rural Co-Educational,217,127,344,8,,4 12,11
373,07010304002 P.D.MODEL SEC.SCHOOL,040-SULTANPURI SOUPTr.H with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,169,91,260,4,,7 11,11
374,07010304503 DAV PUBLIC SCHOOL,045-ROHINI SOUTH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,1113,730,1843,10,,76 86,53
375,07010304509 MOTHER DIVINE PUBLIC SCHOOL,045-ROHINI SOUTH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,846,642,1488,2,,62 64,40
376,07010304507 MOUNTI ABU PUBLIC SCHOOL,045-ROHINI SOUTH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,622,421,1043,5,,43 48,38
377,07010304501 NORTH-EX PUBLIC SCHOOL,045-ROHINI SOUTH Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,349,244,593,1,,27 28,15
378,07010304508 REMAL PUBLIC SENIOR SEC. SCHOO0L45-ROHINI SOUTH,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,445,217,662,3,,13 16,22
379,07010304506 RUKMINI DEVI PUBLIC SCHOOL,045-ROHINI SOUTH Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,101,89,190,1,,13 14,8
"",School,School,,School,,Location &,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,Category,,Management,,Type of School,,,,,,,rooms
"",,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code & Name: 070103,DOEUNAIDED Total Schools in this block :,,,264,,,,,,,,
"",Cluster Code & Name:,,,,,,,,,,,,
380,07010304504 ST. GIRI SR. SEC. SCHOOL,045-ROHINI SOUTH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,532,303,835,,3,28 31,39
381,07010304502 TULA RAM PUBLIC SCHOOL,045-ROHINI SOUTH Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,129,73,202,,0,9 9,8
382,07010304505 YUVASHAKTI MODEL SCHOOL,045-ROHINI SOUTH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,733,431,1164,,6,33 39,34
383,07010304904 GREEN VALES PUBLIC SCHOOL,049-ROHINI NORTH Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,14,11,25,,1,8 9,8
384,07010304903 MANVI PUBLIC SCHOOL,049-ROHINI NORTH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,110,68,178,,1,10 11,10
385,07010304901 ST. ANGELS SCHOOL,049-ROHINI NORTH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,870,589,1459,,1,40 41,41
386,07010304902 VIDYA BHARTI PUBLIC SCHOOL,049-ROHINI NORTH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,487,278,765,,5,41 46,27
387,07010305002 N.K. BAGRODIA PUBLIC SCHOOL,050-ROHINI CENTRALPr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,818,727,1545,,3,54 57,46
388,07010305001 SACHDEVA PUBLIC SCHOOL,050-ROHINI CENTRALPr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,1283,773,2056,,1,107 108,64
389,07010305102 LANCERS CONVENT,051-ROHINI EAST Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,1626,1160,2786,,5,76 81,77
390,07010305101 PRESTIGE CONVENT SR.SEC. SCHOO05L1-ROHINI EAST,Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,372,269,641,,0,25 25,19
391,07010305202 NEW BAL BHARTI PUBLIC SCHOOL,052-NAHARPUR Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,237,152,389,,0,10 10,16
392,07010305201 ROHINI PUBLIC SCHOOL,052-NAHARPUR Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,139,72,211,,0,9 9,10
393,07010305303 MUNI MAYA RAM JAIN PUBLIC SCHOO0L53-PITAM PURA (SOUPTr.H with Up.Pr. & sec./H.Sec.,,,Pvt. Unaided,,Urban Co-Educational,103,63,166,,0,9 9,10
394,07010305302 RAVINDRA PUBLIC SCHOOL,053-PITAM PURA (SOUPTr.H with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,383,190,573,,7,23 30,28
395,07010305304 RISING STAR ACADEMY,053-PITAM PURA (SOUPTr.H with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,327,192,519,,0,22 22,19
396,07010305305 ROSE MARRY PUBLIC SCHOOL,053-PITAM PURA (SOUPTriHmary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,74,45,119,,0,8 8,8
397,07010305301 SACHDEVA PUBLIC SCHOOL,053-PITAM PURA (SOUPTr.H with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Rural Co-Educational,1049,685,1734,,2,75 77,53
398,07010305401 AADHARSHILA VIDYA PEETH,054-PITAMPURA (NORPTrH. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,663,527,1190,,3,54 57,34
399,07010305402 ABHINAV PUB. SCHOOL,054-PITAMPURA (NORPTrH. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,183,88,271,,0,15 15,32
400,07010305409 BRILLIANTS CONVENT,054-PITAMPURA (NORPTrH. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,273,167,440,,0,15 15,16
401,07010305405 DLDAV PUBLIC SCHOOL,054-PITAMPURA (NORPTrH. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,1663,1024,2687,,0,100 100,77
402,07010305404 MAHARAJA AGARSEN ADARSH VIDYA0L5A4Y-PAITAMPURA (NORPTrH. with Up.Pr. & sec./H.Sec.,,,Pvt. Unaided,,Urban Co-Educational,513,277,790,,0,27 27,26
403,07010305413 MAHARAJA AGRASEN MODEL SCHOO0L54-PITAMPURA (NORPTrH. with Up.Pr. & sec./H.Sec.,,,Pvt. Unaided,,Urban Co-Educational,794,545,1339,,2,56 58,40
404,07010305407 MONFORT SCHOOL,054-PITAMPURA (NORPTrH. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,819,637,1456,,7,55 62,40
405,07010305411 MOTHER LAND PUBLIC SCHOOL,054-PITAMPURA (NORPTrHimary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,78,63,141,,0,10 10,8
406,07010305406 RUKMINI DEVI PUBLIC SCHOOL,054-PITAMPURA (NORPTrH. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,756,593,1349,,1,45 46,40
407,07010305408 S.D.PUBLIC SCHOOL,054-PITAMPURA (NORPTrH. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,445,264,709,,4,28 32,23
408,07010305412 SPRING FIELD SCHOOL,054-PITAMPURA (NORPTrHimary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,90,63,153,,0,8 8,8
409,07010305410 ST.COLUMBO PUBLIC SCHOOL,054-PITAMPURA (NORPTrH. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,346,261,607,,1,24 25,20
410,07010305501 MOUNT ABU SR. SEC. SCHOOL,055-SHALIMAR BAGH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,217,138,355,,0,17 17,12
411,07010305503 NEW SHALIMAR PUBLIC SCHOOL,055-SHALIMAR BAGH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,182,87,269,,1,11 12,14
"",School,School,,School,,Location  &,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,Category,,Management,,Type of School,,,,,,,rooms
"",,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code  & Name: 070103,DOEUNAIDED,Total Schools in this block :,,264,,,,,,,,
"",Cluster Code  & Name:,,,,,,,,,,,,
412,07010305502 PRABHU DAYAL PUBLIC SCHOOL,055-SHALIMAR BAGH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,747,372,1119,6,,50 56,39
413,07010305505 ST. ROSIER PUBIC SCHOOL,055-SHALIMAR BAGH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,388,183,571,4,,21 25,20
414,07010305504 ST. VYAS SCHOOL,055-SHALIMAR BAGH Primary with Upper Primary,,Pvt. Unaided,,Urban Co-Educational,75,45,120,1,,7 8,17
415,07010305607 DARBARI LAL DAV MODEL SCHOOL,056-SHALIMAR BAGH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,1469,893,2362,8,,103 111,64
416,07010305604 GOODLEY PUBLIC SCHOOL,056-SHALIMAR BAGH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,1035,719,1754,5,,58 63,50
417,07010305605 INDIAN CONVENT SCHOOL,056-SHALIMAR BAGH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,233,151,384,0,,19 19,18
418,"07010305601 JASPAL KAUR P/S,SHALIMARBAGH",056-SHALIMAR BAGH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,786,605,1391,10,,57 67,48
419,07010305603 MODERN PUBLIC SCHOOL,056-SHALIMAR BAGH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,1062,669,1731,0,,62 62,46
420,07010305606 NORTH DELHI PUBLIC SCHOOL,056-SHALIMAR BAGH Pr. with Up.Pr. & sec./H.Sec.,,Pvt. Unaided,,Urban Co-Educational,304,201,505,3,,21 24,13
